level,text_korean,text_english,source
1,안녕하세요.,Hello.,Core Grammar Level 1 Lesson 1
1,감사합니다.,Thank you.,Core Grammar Level 1 Lesson 1
1,아니요.,No.,Core Grammar Level 1 Lesson 2
1,안녕히 계세요.,Goodbye. (Stay in peace.),Core Grammar Level 1 Lesson 3
1,안녕히 가세요.,Goodbye. (Go in peace.),Core Grammar Level 1 Lesson 3
1,죄송합니다.,I’m sorry. / I apologize.,Core Grammar Level 1 Lesson 4
1,저기요.,Excuse me.,Core Grammar Level 1 Lesson 4
1,잠시만요.,Just a second.,Core Grammar Level 1 Lesson 4
1,잠깐만요.,Just a second.,Core Grammar Level 1 Lesson 4
1,가방이에요.,It’s a bag.,Core Grammar Level 1 Lesson 5
1,사무실이에요.,It’s an office.,Core Grammar Level 1 Lesson 5
1,이 책이에요.,It's this book.,Core Grammar Level 1 Lesson 7
1,그 카메라예요.,It's that camera.,Core Grammar Level 1 Lesson 7
1,그거 뭐예요?,What is that?,Core Grammar Level 1 Lesson 7
1,우유 아니에요.,It is not milk.,Core Grammar Level 1 Lesson 8
1,물 아니에요.,It is not water.,Core Grammar Level 1 Lesson 8
1,저 학생 아니에요.,I am not a student.,Core Grammar Level 1 Lesson 8
1,그거 호랑이 아니에요.,That is not a tiger.,Core Grammar Level 1 Lesson 8
1,이건 가방이에요.,This is a bag.,Core Grammar Level 1 Lesson 9
1,친구 있어요?,Do you have friends?,Core Grammar Level 1 Lesson 10
1,시간 없어요.,I don't have time.,Core Grammar Level 1 Lesson 10
1,커피 주세요.,Please give me some coffee.,Core Grammar Level 1 Lesson 11
1,우유 주세요.,Please give me some milk.,Core Grammar Level 1 Lesson 11
1,돈 주세요.,Please give me some money.,Core Grammar Level 1 Lesson 11
1,삼겹살 맛있어요.,Samgyeopsal is delicious.,Core Grammar Level 1 Lesson 12
1,저 케이크 맛있어요.,That cake is delicious.,Core Grammar Level 1 Lesson 12
1,맛없어요.,It's not tasty.,Core Grammar Level 1 Lesson 12
1,잘 먹겠습니다.,I will eat well.,Core Grammar Level 1 Lesson 12
1,잘 먹었습니다.,I ate well.,Core Grammar Level 1 Lesson 12
1,가고 싶어요.,I want to go.,Core Grammar Level 1 Lesson 13
1,보고 싶어요.,I want to see.,Core Grammar Level 1 Lesson 13
1,먹고 싶어요?,Do you want to eat?,Core Grammar Level 1 Lesson 13
1,뭐 하고 싶어요?,What do you want to do?,Core Grammar Level 1 Lesson 14
1,뭐 사고 싶어요?,What do you want to buy?,Core Grammar Level 1 Lesson 14
1,삼겹살 먹고 싶어요.,I want to eat grilled pork belly.,Core Grammar Level 1 Lesson 14
1,가방 사고 싶어요.,I want to buy a bag.,Core Grammar Level 1 Lesson 14
1,물 마시고 싶어요.,I want to drink water.,Core Grammar Level 1 Lesson 14
1,기다렸어요.,I waited.,Core Grammar Level 1 Lesson 17
1,이상했어요?,Was it strange?,Core Grammar Level 1 Lesson 17
